time_s,activity
3.604480028152465820e-01,7.324218750000000000e-04
3.686400055885314941e-01,2.441406250000000000e-04
3.768320083618164062e-01,4.882812500000000000e-04
3.850240111351013184e-01,2.441406250000000000e-04
3.932160139083862305e-01,0.000000000000000000e+00
4.014079868793487549e-01,4.882812500000000000e-04
4.095999896526336670e-01,0.000000000000000000e+00
4.177919924259185791e-01,7.324218750000000000e-04
4.259839951992034912e-01,7.324218750000000000e-04
4.341759979724884033e-01,0.000000000000000000e+00
4.423680007457733154e-01,9.765625000000000000e-04
4.505600035190582275e-01,2.441406250000000000e-04
4.587520062923431396e-01,7.324218750000000000e-04
4.669440090656280518e-01,7.324218750000000000e-04
4.751360118389129639e-01,2.441406250000000000e-04
4.833280146121978760e-01,7.324218750000000000e-04
4.915199875831604004e-01,7.324218750000000000e-04
4.997119903564453125e-01,2.441406250000000000e-04
5.079039931297302246e-01,1.220703125000000000e-03
5.160959959030151367e-01,2.441406250000000000e-04
5.242879986763000488e-01,4.882812500000000000e-04
5.324800014495849609e-01,4.882812500000000000e-04
5.406720042228698730e-01,0.000000000000000000e+00
5.488640069961547852e-01,2.441406250000000000e-04
5.570560097694396973e-01,2.441406250000000000e-04
5.652480125427246094e-01,2.441406250000000000e-04
5.734400153160095215e-01,2.441406250000000000e-04
5.816320180892944336e-01,2.441406250000000000e-04
5.898240208625793457e-01,7.324218750000000000e-04
5.980160236358642578e-01,0.000000000000000000e+00
6.062080264091491699e-01,9.765625000000000000e-04
6.144000291824340820e-01,4.882812500000000000e-04
6.225919723510742188e-01,0.000000000000000000e+00
6.307839751243591309e-01,0.000000000000000000e+00
6.389759778976440430e-01,2.441406250000000000e-04
6.471679806709289551e-01,2.441406250000000000e-04
6.553599834442138672e-01,2.441406250000000000e-04
6.635519862174987793e-01,9.765625000000000000e-04
6.717439889907836914e-01,0.000000000000000000e+00
6.799359917640686035e-01,2.441406250000000000e-04
6.881279945373535156e-01,7.324218750000000000e-04
6.963199973106384277e-01,7.324218750000000000e-04
7.045120000839233398e-01,4.882812500000000000e-04
7.127040028572082520e-01,2.441406250000000000e-04
