time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
7.807999849319458008e-03,0.000000000000000000e+00
1.561599969863891602e-02,7.812500000000000000e-03
2.342399954795837402e-02,1.660156250000000000e-02
3.123199939727783203e-02,5.859375000000000000e-03
3.903999924659729004e-02,1.269531250000000000e-02
4.684799909591674805e-02,1.171875000000000000e-02
5.465599894523620605e-02,5.859375000000000000e-03
6.246399879455566406e-02,8.789062500000000000e-03
7.027199864387512207e-02,5.859375000000000000e-03
7.807999849319458008e-02,7.812500000000000000e-03
8.588799834251403809e-02,3.906250000000000000e-03
9.369599819183349609e-02,8.789062500000000000e-03
1.015039980411529541e-01,1.269531250000000000e-02
1.093119978904724121e-01,7.812500000000000000e-03
1.171199977397918701e-01,5.859375000000000000e-03
1.249279975891113281e-01,1.464843750000000000e-02
1.327359974384307861e-01,1.171875000000000000e-02
1.405439972877502441e-01,4.882812500000000000e-03
1.483519971370697021e-01,6.835937500000000000e-03
1.561599969863891602e-01,3.906250000000000000e-03
1.639679968357086182e-01,4.882812500000000000e-03
1.717759966850280762e-01,9.765625000000000000e-03
1.795839965343475342e-01,9.765625000000000000e-03
1.873919963836669922e-01,6.835937500000000000e-03
1.951999962329864502e-01,6.835937500000000000e-03
2.030079960823059082e-01,9.765625000000000000e-03
2.108159959316253662e-01,6.835937500000000000e-03
2.186239957809448242e-01,4.882812500000000000e-03
2.264319956302642822e-01,7.812500000000000000e-03
2.342399954795837402e-01,1.074218750000000000e-02
2.420479953289031982e-01,1.269531250000000000e-02
2.498559951782226562e-01,4.882812500000000000e-03
2.576639950275421143e-01,4.882812500000000000e-03
2.654719948768615723e-01,6.835937500000000000e-03
2.732799947261810303e-01,3.906250000000000000e-03
2.810879945755004883e-01,5.859375000000000000e-03
2.888959944248199463e-01,5.859375000000000000e-03
2.967039942741394043e-01,6.835937500000000000e-03
3.045119941234588623e-01,9.765625000000000000e-03
3.123199939727783203e-01,1.367187500000000000e-02
3.201279938220977783e-01,6.835937500000000000e-03
3.279359936714172363e-01,1.074218750000000000e-02
3.357439935207366943e-01,9.765625000000000000e-03
3.435519933700561523e-01,4.882812500000000000e-03
3.513599932193756104e-01,6.835937500000000000e-03
3.591679930686950684e-01,2.929687500000000000e-03
3.669759929180145264e-01,3.906250000000000000e-03
3.747839927673339844e-01,7.812500000000000000e-03
3.825919926166534424e-01,2.929687500000000000e-03
3.903999924659729004e-01,6.835937500000000000e-03
3.982079923152923584e-01,6.835937500000000000e-03
4.060159921646118164e-01,1.464843750000000000e-02
4.138239920139312744e-01,3.906250000000000000e-03
4.216319918632507324e-01,1.074218750000000000e-02
4.294399917125701904e-01,6.835937500000000000e-03
4.372479915618896484e-01,9.765625000000000000e-03
4.450559914112091064e-01,1.074218750000000000e-02
4.528639912605285645e-01,1.074218750000000000e-02
4.606719911098480225e-01,5.859375000000000000e-03
4.684799909591674805e-01,9.765625000000000000e-03
4.762879908084869385e-01,4.882812500000000000e-03
4.840959906578063965e-01,2.929687500000000000e-03
4.919039905071258545e-01,7.812500000000000000e-03
4.997119903564453125e-01,1.074218750000000000e-02
5.075200200080871582e-01,1.367187500000000000e-02
5.153279900550842285e-01,4.882812500000000000e-03
5.231360197067260742e-01,3.906250000000000000e-03
5.309439897537231445e-01,5.859375000000000000e-03
5.387520194053649902e-01,8.789062500000000000e-03
5.465599894523620605e-01,5.859375000000000000e-03
5.543680191040039062e-01,4.882812500000000000e-03
5.621759891510009766e-01,6.835937500000000000e-03
5.699840188026428223e-01,6.835937500000000000e-03
5.777919888496398926e-01,3.906250000000000000e-03
5.856000185012817383e-01,6.835937500000000000e-03
5.934079885482788086e-01,7.812500000000000000e-03
6.012160181999206543e-01,1.171875000000000000e-02
6.090239882469177246e-01,1.074218750000000000e-02
6.168320178985595703e-01,2.929687500000000000e-03
6.246399879455566406e-01,2.929687500000000000e-03
6.324480175971984863e-01,2.929687500000000000e-03
6.402559876441955566e-01,7.812500000000000000e-03
6.480640172958374023e-01,8.789062500000000000e-03
6.558719873428344727e-01,4.882812500000000000e-03
6.636800169944763184e-01,1.074218750000000000e-02
6.714879870414733887e-01,2.929687500000000000e-03
6.792960166931152344e-01,1.171875000000000000e-02
6.871039867401123047e-01,5.859375000000000000e-03
6.949120163917541504e-01,3.906250000000000000e-03
7.027199864387512207e-01,6.835937500000000000e-03
7.105280160903930664e-01,5.859375000000000000e-03
7.183359861373901367e-01,9.765625000000000000e-03
7.261440157890319824e-01,7.812500000000000000e-03
7.339519858360290527e-01,5.859375000000000000e-03
7.417600154876708984e-01,9.765625000000000000e-03
7.495679855346679688e-01,9.765625000000000000e-03
7.573760151863098145e-01,8.789062500000000000e-03
7.651839852333068848e-01,1.953125000000000000e-03
7.729920148849487305e-01,3.906250000000000000e-03
7.807999849319458008e-01,2.929687500000000000e-03
7.886080145835876465e-01,6.835937500000000000e-03
7.964159846305847168e-01,4.882812500000000000e-03
8.042240142822265625e-01,3.906250000000000000e-03
8.120319843292236328e-01,6.835937500000000000e-03
8.198400139808654785e-01,1.074218750000000000e-02
8.276479840278625488e-01,5.859375000000000000e-03
8.354560136795043945e-01,3.906250000000000000e-03
8.432639837265014648e-01,3.906250000000000000e-03
8.510720133781433105e-01,8.789062500000000000e-03
8.588799834251403809e-01,4.882812500000000000e-03
8.666880130767822266e-01,5.859375000000000000e-03
8.744959831237792969e-01,8.789062500000000000e-03
8.823040127754211426e-01,3.906250000000000000e-03
8.901119828224182129e-01,8.789062500000000000e-03
8.979200124740600586e-01,4.882812500000000000e-03
9.057279825210571289e-01,5.859375000000000000e-03
9.135360121726989746e-01,1.074218750000000000e-02
9.213439822196960449e-01,8.789062500000000000e-03
9.291520118713378906e-01,5.859375000000000000e-03
9.369599819183349609e-01,9.765625000000000000e-03
9.447680115699768066e-01,5.859375000000000000e-03
9.525759816169738770e-01,9.765625000000000000e-03
9.603840112686157227e-01,6.835937500000000000e-03
9.681919813156127930e-01,6.835937500000000000e-03
9.760000109672546387e-01,9.765625000000000000e-04
9.838079810142517090e-01,1.074218750000000000e-02
9.916160106658935547e-01,7.812500000000000000e-03
9.994239807128906250e-01,6.835937500000000000e-03
1.007231950759887695e+00,3.906250000000000000e-03
