time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
7.001600228250026703e-03,0.000000000000000000e+00
1.400320045650005341e-02,5.859375000000000000e-03
2.100479975342750549e-02,1.953125000000000000e-03
2.800640091300010681e-02,1.953125000000000000e-03
3.500799834728240967e-02,3.906250000000000000e-03
4.200959950685501099e-02,1.953125000000000000e-03
4.901120066642761230e-02,2.929687500000000000e-03
5.601280182600021362e-02,9.765625000000000000e-04
6.301440298557281494e-02,1.953125000000000000e-03
7.001599669456481934e-02,1.953125000000000000e-03
7.701759785413742065e-02,9.765625000000000000e-04
8.401919901371002197e-02,3.906250000000000000e-03
9.102080017328262329e-02,1.953125000000000000e-03
9.802240133285522461e-02,9.765625000000000000e-04
1.050240024924278259e-01,0.000000000000000000e+00
1.120256036520004272e-01,0.000000000000000000e+00
1.190271973609924316e-01,2.929687500000000000e-03
1.260288059711456299e-01,3.906250000000000000e-03
1.330303996801376343e-01,1.953125000000000000e-03
1.400319933891296387e-01,1.953125000000000000e-03
1.470336019992828369e-01,2.929687500000000000e-03
1.540351957082748413e-01,0.000000000000000000e+00
1.610368043184280396e-01,1.953125000000000000e-03
1.680383980274200439e-01,2.929687500000000000e-03
1.750400066375732422e-01,9.765625000000000000e-04
1.820416003465652466e-01,2.929687500000000000e-03
1.890431940555572510e-01,0.000000000000000000e+00
1.960448026657104492e-01,9.765625000000000000e-04
2.030463963747024536e-01,4.882812500000000000e-03
2.100480049848556519e-01,2.929687500000000000e-03
2.170495986938476562e-01,9.765625000000000000e-04
2.240512073040008545e-01,1.953125000000000000e-03
2.310528010129928589e-01,1.953125000000000000e-03
2.380543947219848633e-01,0.000000000000000000e+00
2.450560033321380615e-01,9.765625000000000000e-04
2.520576119422912598e-01,9.765625000000000000e-04
2.590591907501220703e-01,9.765625000000000000e-04
2.660607993602752686e-01,3.906250000000000000e-03
2.730624079704284668e-01,1.953125000000000000e-03
2.800639867782592773e-01,3.906250000000000000e-03
2.870655953884124756e-01,1.953125000000000000e-03
2.940672039985656738e-01,1.953125000000000000e-03
3.010688126087188721e-01,9.765625000000000000e-04
3.080703914165496826e-01,1.953125000000000000e-03
3.150720000267028809e-01,9.765625000000000000e-04
3.220736086368560791e-01,1.953125000000000000e-03
3.290751874446868896e-01,3.906250000000000000e-03
3.360767960548400879e-01,2.929687500000000000e-03
3.430784046649932861e-01,1.953125000000000000e-03
3.500800132751464844e-01,3.906250000000000000e-03
3.570815920829772949e-01,1.953125000000000000e-03
3.640832006931304932e-01,3.906250000000000000e-03
3.710848093032836914e-01,2.929687500000000000e-03
3.780863881111145020e-01,1.953125000000000000e-03
3.850879967212677002e-01,0.000000000000000000e+00
3.920896053314208984e-01,1.953125000000000000e-03
3.990912139415740967e-01,2.929687500000000000e-03
4.060927927494049072e-01,2.929687500000000000e-03
4.130944013595581055e-01,1.953125000000000000e-03
4.200960099697113037e-01,9.765625000000000000e-04
4.270975887775421143e-01,0.000000000000000000e+00
4.340991973876953125e-01,1.953125000000000000e-03
4.411008059978485107e-01,3.906250000000000000e-03
4.481024146080017090e-01,2.929687500000000000e-03
4.551039934158325195e-01,1.953125000000000000e-03
4.621056020259857178e-01,9.765625000000000000e-04
4.691072106361389160e-01,2.929687500000000000e-03
4.761087894439697266e-01,9.765625000000000000e-04
4.831103980541229248e-01,9.765625000000000000e-04
4.901120066642761230e-01,2.929687500000000000e-03
4.971135854721069336e-01,1.953125000000000000e-03
5.041152238845825195e-01,2.929687500000000000e-03
5.111168026924133301e-01,1.953125000000000000e-03
5.181183815002441406e-01,0.000000000000000000e+00
5.251200199127197266e-01,0.000000000000000000e+00
5.321215987205505371e-01,0.000000000000000000e+00
5.391231775283813477e-01,1.953125000000000000e-03
5.461248159408569336e-01,1.953125000000000000e-03
5.531263947486877441e-01,9.765625000000000000e-04
5.601279735565185547e-01,1.953125000000000000e-03
5.671296119689941406e-01,0.000000000000000000e+00
5.741311907768249512e-01,1.953125000000000000e-03
5.811328291893005371e-01,4.882812500000000000e-03
5.881344079971313477e-01,1.953125000000000000e-03
5.951359868049621582e-01,9.765625000000000000e-04
6.021376252174377441e-01,0.000000000000000000e+00
6.091392040252685547e-01,2.929687500000000000e-03
6.161407828330993652e-01,0.000000000000000000e+00
6.231424212455749512e-01,2.929687500000000000e-03
6.301440000534057617e-01,1.953125000000000000e-03
6.371455788612365723e-01,9.765625000000000000e-04
6.441472172737121582e-01,2.929687500000000000e-03
6.511487960815429688e-01,0.000000000000000000e+00
6.581503748893737793e-01,2.929687500000000000e-03
