f_center_hz,p_db,bw_hz_est,snr_db_est
-1878906.25,-87.5229263305664,12695.3125,24.55951690673828
-1804687.5,-98.33979797363281,16601.5625,13.742645263671875
-1604492.1875,-85.98433685302734,34179.6875,26.098106384277344
-1555664.0625,-85.51177978515625,17578.125,26.570663452148438
-1329101.5625,-96.07644653320312,16601.5625,16.005996704101562
-1154296.875,-101.94676208496094,33203.125,10.13568115234375
-1053710.9375,-98.31619262695312,7812.5,13.766250610351562
-805664.0625,-89.74982452392578,19531.25,22.332618713378906
-654296.875,-103.0770492553711,38085.9375,9.005393981933594
-553710.9375,-98.01841735839844,37109.375,14.06402587890625
-354492.1875,-101.70477294921875,13671.875,10.377670288085938
-304687.5,-101.79019927978516,35156.25,10.292243957519531
-229492.1875,-92.01829528808594,13671.875,20.06414794921875
-104492.1875,-78.01937866210938,10742.1875,34.06306457519531
-54687.5,-93.76419830322266,17578.125,18.31824493408203
145507.8125,-101.03474426269531,32226.5625,11.047698974609375
195312.5,-94.42676544189453,37109.375,17.655677795410156
270507.8125,-93.68202209472656,8789.0625,18.400421142578125
320312.5,-95.84095001220703,14648.4375,16.241493225097656
395507.8125,-79.24879455566406,15625.0,32.833648681640625
464843.75,-99.19789123535156,19531.25,12.884552001953125
496093.75,-99.14368438720703,17578.125,12.938758850097656
645507.8125,-93.81736755371094,27343.75,18.26507568359375
820312.5,-97.12315368652344,38085.9375,14.95928955078125
945312.5,-90.71281433105469,16601.5625,21.36962890625
996093.75,-102.39918518066406,32226.5625,9.683258056640625
1145507.8125,-92.69554901123047,16601.5625,19.38689422607422
1295898.4375,-101.66340637207031,23437.5,10.419036865234375
1445312.5,-87.60299682617188,24414.0625,24.479446411132812
1496093.75,-88.25333404541016,38085.9375,23.82910919189453
1695312.5,-86.27958679199219,13671.875,25.8028564453125
1845703.125,-101.94947052001953,37109.375,10.132972717285156
1920898.4375,-98.02974700927734,35156.25,14.052696228027344
1970703.125,-96.27796173095703,37109.375,15.804481506347656
