time_s,activity
3.481599986553192139e-01,3.173828125000000000e-03
3.525120019912719727e-01,9.765625000000000000e-04
3.568640053272247314e-01,1.220703125000000000e-03
3.612160086631774902e-01,7.324218750000000000e-04
3.655680119991302490e-01,0.000000000000000000e+00
3.699199855327606201e-01,4.882812500000000000e-04
3.742719888687133789e-01,2.197265625000000000e-03
3.786239922046661377e-01,9.765625000000000000e-04
3.829759955406188965e-01,4.882812500000000000e-04
3.873279988765716553e-01,9.765625000000000000e-04
3.916800022125244141e-01,9.765625000000000000e-04
3.960320055484771729e-01,2.441406250000000000e-04
4.003840088844299316e-01,0.000000000000000000e+00
4.047360122203826904e-01,2.441406250000000000e-03
4.090879857540130615e-01,7.324218750000000000e-04
4.134399890899658203e-01,9.765625000000000000e-04
4.177919924259185791e-01,7.324218750000000000e-04
4.221439957618713379e-01,2.441406250000000000e-04
4.264959990978240967e-01,9.765625000000000000e-04
4.308480024337768555e-01,1.220703125000000000e-03
4.352000057697296143e-01,1.220703125000000000e-03
4.395520091056823730e-01,7.324218750000000000e-04
4.439040124416351318e-01,2.441406250000000000e-04
4.482559859752655029e-01,9.765625000000000000e-04
4.526079893112182617e-01,4.882812500000000000e-04
4.569599926471710205e-01,2.441406250000000000e-04
4.613119959831237793e-01,4.150390625000000000e-03
4.656639993190765381e-01,2.441406250000000000e-04
4.700160026550292969e-01,7.324218750000000000e-04
4.743680059909820557e-01,1.708984375000000000e-03
4.787200093269348145e-01,4.882812500000000000e-04
4.830720126628875732e-01,1.708984375000000000e-03
4.874239861965179443e-01,1.464843750000000000e-03
4.917759895324707031e-01,1.464843750000000000e-03
4.961279928684234619e-01,1.953125000000000000e-03
5.004799962043762207e-01,2.441406250000000000e-04
5.048320293426513672e-01,7.324218750000000000e-04
5.091840028762817383e-01,9.765625000000000000e-04
5.135359764099121094e-01,7.324218750000000000e-04
5.178880095481872559e-01,3.173828125000000000e-03
5.222399830818176270e-01,2.441406250000000000e-04
5.265920162200927734e-01,7.324218750000000000e-04
5.309439897537231445e-01,9.765625000000000000e-04
5.352960228919982910e-01,9.765625000000000000e-04
5.396479964256286621e-01,1.708984375000000000e-03
5.440000295639038086e-01,2.197265625000000000e-03
5.483520030975341797e-01,1.708984375000000000e-03
5.527039766311645508e-01,1.464843750000000000e-03
5.570560097694396973e-01,9.765625000000000000e-04
5.614079833030700684e-01,1.220703125000000000e-03
5.657600164413452148e-01,1.953125000000000000e-03
5.701119899749755859e-01,7.324218750000000000e-04
5.744640231132507324e-01,4.882812500000000000e-04
5.788159966468811035e-01,4.882812500000000000e-04
5.831680297851562500e-01,9.765625000000000000e-04
5.875200033187866211e-01,1.953125000000000000e-03
5.918719768524169922e-01,1.220703125000000000e-03
5.962240099906921387e-01,2.685546875000000000e-03
6.005759835243225098e-01,9.765625000000000000e-04
6.049280166625976562e-01,4.882812500000000000e-04
6.092799901962280273e-01,7.324218750000000000e-04
6.136320233345031738e-01,7.324218750000000000e-04
6.179839968681335449e-01,7.324218750000000000e-04
6.223359704017639160e-01,1.953125000000000000e-03
6.266880035400390625e-01,2.441406250000000000e-04
6.310399770736694336e-01,4.882812500000000000e-04
6.353920102119445801e-01,1.220703125000000000e-03
6.397439837455749512e-01,7.324218750000000000e-04
6.440960168838500977e-01,1.220703125000000000e-03
6.484479904174804688e-01,0.000000000000000000e+00
6.528000235557556152e-01,1.953125000000000000e-03
6.571519970893859863e-01,1.708984375000000000e-03
6.615039706230163574e-01,4.882812500000000000e-04
6.658560037612915039e-01,4.882812500000000000e-04
6.702079772949218750e-01,1.220703125000000000e-03
6.745600104331970215e-01,4.882812500000000000e-04
6.789119839668273926e-01,1.220703125000000000e-03
6.832640171051025391e-01,7.324218750000000000e-04
6.876159906387329102e-01,4.882812500000000000e-04
6.919680237770080566e-01,4.882812500000000000e-04
6.963199973106384277e-01,4.882812500000000000e-04
7.006719708442687988e-01,9.765625000000000000e-04
7.050240039825439453e-01,4.882812500000000000e-04
7.093759775161743164e-01,1.220703125000000000e-03
7.137280106544494629e-01,1.220703125000000000e-03
7.180799841880798340e-01,4.882812500000000000e-04
7.224320173263549805e-01,1.464843750000000000e-03
7.267839908599853516e-01,1.220703125000000000e-03
7.311360239982604980e-01,2.441406250000000000e-03
