time_s,activity
4.000000000000000083e-03,0.000000000000000000e+00
8.000000000000000167e-03,0.000000000000000000e+00
1.200000000000000025e-02,1.953125000000000000e-03
1.600000000000000033e-02,1.708984375000000000e-03
2.000000000000000042e-02,7.324218750000000000e-04
2.400000000000000050e-02,2.441406250000000000e-04
2.800000000000000058e-02,2.441406250000000000e-04
3.200000000000000067e-02,4.882812500000000000e-04
3.599999999999999728e-02,2.441406250000000000e-04
4.000000000000000083e-02,9.765625000000000000e-04
4.399999999999999745e-02,4.882812500000000000e-04
4.800000000000000100e-02,0.000000000000000000e+00
5.199999999999999761e-02,4.882812500000000000e-04
5.600000000000000117e-02,0.000000000000000000e+00
5.999999999999999778e-02,4.882812500000000000e-04
6.400000000000000133e-02,9.765625000000000000e-04
6.800000000000000488e-02,7.324218750000000000e-04
7.199999999999999456e-02,1.220703125000000000e-03
7.599999999999999811e-02,4.882812500000000000e-04
8.000000000000000167e-02,0.000000000000000000e+00
8.400000000000000522e-02,1.220703125000000000e-03
8.799999999999999489e-02,0.000000000000000000e+00
9.199999999999999845e-02,4.882812500000000000e-04
9.600000000000000200e-02,4.882812500000000000e-04
1.000000000000000056e-01,4.882812500000000000e-04
1.039999999999999952e-01,2.441406250000000000e-04
1.079999999999999988e-01,7.324218750000000000e-04
1.120000000000000023e-01,4.882812500000000000e-04
1.160000000000000059e-01,4.882812500000000000e-04
1.199999999999999956e-01,4.882812500000000000e-04
1.239999999999999991e-01,4.882812500000000000e-04
1.280000000000000027e-01,9.765625000000000000e-04
1.320000000000000062e-01,1.220703125000000000e-03
1.360000000000000098e-01,1.220703125000000000e-03
1.400000000000000133e-01,4.882812500000000000e-04
1.439999999999999891e-01,7.324218750000000000e-04
1.479999999999999927e-01,2.441406250000000000e-04
1.519999999999999962e-01,4.882812500000000000e-04
1.559999999999999998e-01,2.441406250000000000e-04
1.600000000000000033e-01,2.441406250000000000e-04
1.640000000000000069e-01,4.882812500000000000e-04
1.680000000000000104e-01,7.324218750000000000e-04
1.719999999999999862e-01,7.324218750000000000e-04
1.759999999999999898e-01,4.882812500000000000e-04
1.799999999999999933e-01,1.220703125000000000e-03
1.839999999999999969e-01,2.441406250000000000e-04
1.880000000000000004e-01,7.324218750000000000e-04
1.920000000000000040e-01,7.324218750000000000e-04
1.960000000000000075e-01,7.324218750000000000e-04
2.000000000000000111e-01,9.765625000000000000e-04
2.039999999999999869e-01,4.882812500000000000e-04
2.079999999999999905e-01,7.324218750000000000e-04
2.119999999999999940e-01,7.324218750000000000e-04
2.159999999999999976e-01,7.324218750000000000e-04
2.200000000000000011e-01,0.000000000000000000e+00
2.240000000000000047e-01,1.220703125000000000e-03
2.280000000000000082e-01,7.324218750000000000e-04
2.320000000000000118e-01,4.882812500000000000e-04
2.359999999999999876e-01,2.441406250000000000e-04
2.399999999999999911e-01,4.882812500000000000e-04
2.439999999999999947e-01,4.882812500000000000e-04
2.479999999999999982e-01,4.882812500000000000e-04
2.520000000000000018e-01,2.441406250000000000e-04
2.560000000000000053e-01,4.882812500000000000e-04
2.600000000000000089e-01,0.000000000000000000e+00
2.640000000000000124e-01,2.441406250000000000e-04
2.680000000000000160e-01,7.324218750000000000e-04
2.720000000000000195e-01,4.882812500000000000e-04
2.760000000000000231e-01,4.882812500000000000e-04
2.800000000000000266e-01,7.324218750000000000e-04
2.839999999999999747e-01,2.441406250000000000e-04
2.879999999999999782e-01,2.441406250000000000e-04
2.919999999999999818e-01,2.441406250000000000e-04
2.959999999999999853e-01,9.765625000000000000e-04
2.999999999999999889e-01,4.882812500000000000e-04
3.039999999999999925e-01,7.324218750000000000e-04
3.079999999999999960e-01,1.220703125000000000e-03
3.119999999999999996e-01,7.324218750000000000e-04
3.160000000000000031e-01,9.765625000000000000e-04
3.200000000000000067e-01,4.882812500000000000e-04
3.240000000000000102e-01,4.882812500000000000e-04
